Rank,Title,Employees,Sector,Industry,Hqcity,Ceo,Ceo-title,Revenues,Revchange,Profits,Prftchange,Assets
167,American Electric Power,17634,Energy,Utilities: Gas and Electric,Columbus,Nicholas K. Akins,"Chairman, President & Chief Executive Officer",16380,-3.1,610.9,-70.2,63468
168,Icahn Enterprises,90980,Financials,Diversified Financials,New York,Keith Cozza,"President, Chief Executive Officer & Director",16348,7,-1128,-70.2,33335
169,Nucor,23900,Materials,Metals,Charlotte,John J. Ferriola,"Chairman, President & Chief Executive Officer",16208,-1.4,796.3,122.6,15224
170,NextEra Energy,14700,Energy,Utilities: Gas and Electric,Juno Beach,James L. Robo,"Chairman, President & Chief Executive Officer",16155,-7.6,2912,5.8,89993
171,Performance Food Group,13000,Wholesalers,Wholesalers: Food and Grocery,Richmond,George L. Holm,"President, Chief Executive Officer & Director",16105,5.5,68.3,20.9,3455
172,PBF Energy,3165,Energy,Petroleum Refining,Parsippany,Thomas J. Nimbley,Chairman & Chief Executive Officer,15920,21.3,170.8,16.7,7622
173,Halliburton,50000,Energy,"Oil and Gas Equipment, Services",Houston,Jeffrey A. Miller,"President, Chief Executive Officer & Director",15887,-32.8,-5763,16.7,27000
174,CarMax,22429,Retailing,"Automotive Retailing, Services",Richmond,William D. Nash,"President, Chief Executive Officer & Director",15833,6.4,623.4,4.4,14482
175,Freeport-McMoRan,30000,Energy,"Mining, Crude-Oil Production",Phoenix,Richard C. Adkerson,"President, Chief Executive Officer & Director",15789,-0.6,-4154,4.4,37317
176,Whole Foods Market,73515,Food & Drug Stores,Food and Drug Stores,Austin,John P. Mackey,Chief Executive Officer & Director,15724,2.2,507,-5.4,6341
177,Bank of New York Mellon,52000,Financials,Commercial Banks,New York,Gerald L. Hassell,Chairman & Chief Executive Officer,15683,1,3547,12.3,333469
178,Gap,135000,Retailing,Specialty Retailers: Apparel,San Francisco,Arthur L. Peck,"President, Chief Executive Officer & Director",15516,-1.8,676,-26.5,7610
179,Omnicom Group,78500,Business Services,"Advertising, Marketing",New York,John D. Wren,"President, Chief Executive Officer & Director",15417,1.9,1148.6,5,23165
180,Genuine Parts,40000,Wholesalers,Wholesalers: Diversified,Atlanta,Paul D. Donahue,"President, Chief Executive Officer & Director",15340,0.4,687.2,-2.6,8859
181,DaVita,70300,Health Care,Health Care: Medical Facilities,Denver,Kent J. Thiry,Co-Chairman & Chief Executive Officer,15197,6.9,879.9,226.2,18741
182,Colgate-Palmolive,36700,Household Products,Household and Personal Products,New York,Ian M. Cook,"Chairman, President & Chief Executive Officer",15195,-5.2,2441,76.4,12123
183,PPG Industries,47000,Chemicals,Chemicals,Pittsburgh,Michael H. McGarry,Chairman & Chief Executive Officer,15178,-1,877,-37.6,15769
184,Goodyear Tire & Rubber,66000,Motor Vehicles & Parts,Motor Vehicles and Parts,Akron,Richard J. Kramer,"Chairman, President & Chief Executive Officer",15158,-7.8,1264,311.7,16511
185,Synchrony Financial,15000,Financials,Diversified Financials,Stamford,Margaret M. Keane,"President, Chief Executive Officer & Director",15122,11,2251,1.7,90207
186,DISH Network,16000,Telecommunications,Telecommunications,Englewood,Charles W. Ergen,Chairman & Chief Executive Officer,15095,0.2,1449.9,94.1,28092
187,Visa,14200,Business Services,Financial Data Services,Foster City,Alfred F. Kelly Jr.,Chief Executive Officer & Director,15082,8.7,5991,-5.3,64035
188,Nordstrom,72500,Retailing,General Merchandisers,Seattle,Blake W. Nordstrom,"Principal Executive Officer, Co-President and Director",14757,2.2,354,-41,7858
189,INTL FCStone,1464,Financials,Diversified Financials,New York,Sean M. O'Connor,"President, Chief Executive Officer & Director",14755,-57.5,54.7,-1.8,5951
190,WestRock,39000,Materials,"Packaging, Containers",Richmond,Steven C. Voorhees,Chief Executive Officer & Director,14706,29.2,-396.3,-178.2,23038
191,XPO Logistics,87000,Transportation,Transportation and Logistics,Greenwich,Bradley S. Jacobs,Chairman & Chief Executive Officer,14619,91.8,69,-178.2,11698
192,Aramark,217250,Business Services,Diversified Outsourcing Services,Philadelphia,Eric J. Foss,"Chairman, President & Chief Executive Officer",14416,0.6,287.8,22,10582
193,CBS,18410,Media,Entertainment,New York,Leslie Moonves,Chairman & Chief Executive Officer,14386,3.6,1261,-10.8,24238
194,AES,19000,Energy,Utilities: Gas and Electric,Arlington,Andres R. Gluski,"President, Chief Executive Officer & Director",14287,-4.5,-1130,-469.3,36119
195,WellCare Health Plans,7400,Health Care,Health Care: Insurance and Managed Care,Tampa,Kenneth A. Burdick,Chief Executive Officer & Director,14237,2.5,242.1,104.1,6153
196,FirstEnergy,15707,Energy,Utilities: Gas and Electric,Akron,Charles E. Jones,"President, Chief Executive Officer & Director",14156,-3.1,-6177,"-1,168.70",43148
197,Conagra Brands,20900,"Food, Beverages & Tobacco",Food Consumer Products,Chicago,Sean M. Connolly,"President, Chief Executive Officer & Director",14134,-10.8,-677,"-1,168.70",13391
198,Synnex,110000,Wholesalers,Wholesalers: Electronics and Office Equipment,Fremont,Kevin M. Murai,"President, Chief Executive Officer & Director",14062,5.4,234.9,12.7,5223
199,CDW,8516,Technology,Information Technology Services,Lincolnshire,Thomas E. Richards,"Chairman, President & Chief Executive Officer",13982,7.6,424.4,5.3,6948
200,Textron,36000,Aerospace & Defense,Aerospace and Defense,Providence,Scott C. Donnelly,"Chairman, President & Chief Executive Officer",13788,2.7,962,38,15358
201,Waste Management,41200,Business Services,Waste Management,Houston,James C. Fish Jr.,"President, Chief Executive Officer & Director",13609,5,1182,57,20859
202,Illinois Tool Works,50000,Industrials,Industrial Machinery,Glenview,E. Scott Santi,"Chairman, President & Chief Executive Officer",13599,1.4,2035,7.2,15201
203,Office Depot,38000,Retailing,Specialty Retailers: Other,Boca Raton,Gerry P. Smith,Chief Executive Officer & Director,13585,-6.2,529,"6,512.50",5540
204,Monsanto,22450,Chemicals,Chemicals,St. Louis,Hugh Grant,Chairman & Chief Executive Officer,13502,-10,1336,-42.3,19736
205,Cognizant Technology Solutions,260200,Technology,Information Technology Services,Teaneck,Francisco D'Souza,Chief Executive Officer & Director,13487,8.6,1553,-4.3,14262
206,Texas Instruments,29865,Technology,Semiconductors and Other Electronic Components,Dallas,Richard K. Templeton,"Chairman, President & Chief Executive Officer",13370,2.8,3595,20.4,16431
207,Lincoln National,9057,Financials,"Insurance: Life, Health (Stock)",Radnor,Dennis R. Glass,"President, Chief Executive Officer & Director",13330,-1.8,1192,3.3,261627
208,Newell Brands,53400,Household Products,"Home Equipment, Furnishings",Hoboken,Michael B. Polk,Chief Executive Officer & Director,13264,122.1,527.8,50.8,33838
209,Land O’Lakes,10000,"Food, Beverages & Tobacco",Food Consumer Products,Arden Hills,Christopher J. Policinski,"President, Chief Executive Officer & Director",13233,0.6,244.9,-20.4,8305
210,Marsh & McLennan,60000,Financials,Diversified Financials,New York,Daniel S. Glaser,"President, Chief Executive Officer & Director",13211,2.5,1768,10.6,18190
211,Ecolab,47565,Chemicals,Chemicals,St. Paul,Douglas M. Baker Jr.,Chairman & Chief Executive Officer,13153,-2.9,1229.6,22.7,18330
212,C.H. Robinson Worldwide,14125,Transportation,Transportation and Logistics,Eden Prairie,John P. Wiehoff,"Chairman, President & Chief Executive Officer",13144,-2.5,513.4,0.7,3688
213,Loews,15800,Financials,Insurance: Property and Casualty (Stock),New York,James S. Tisch,"President, Chief Executive Officer & Director",13105,-2.3,654,151.5,76594
214,CBRE Group,75000,Financials,Real Estate,Los Angeles,Robert E. Sulentic,"President, Chief Executive Officer & Director",13072,20.4,572,4.5,10780
215,Kinder Morgan,11121,Energy,Pipelines,Houston,Steven J. Kean,"President, Chief Executive Officer & Director",13058,-9.3,708,179.8,80305
216,Kellogg,37369,"Food, Beverages & Tobacco",Food Consumer Products,Battle Creek,John A. Bryant,Chairman & Chief Executive Officer,13014,-3.8,694,13,15111
217,Western Digital,72878,Technology,Computer Peripherals,Irvine,Stephen D. Milligan,Chief Executive Officer & Director,12994,-10.8,242,-83.5,32862
218,Guardian Life Ins. Co. of America,8876,Financials,"Insurance: Life, Health (Mutual)",New York,Deanna M. Mulligan,"President, Chief Executive Officer & Director",12919,2.3,263.9,-35.7,70339
219,Ross Stores,78600,Retailing,Specialty Retailers: Apparel,Dublin,Barbara Rentler,Chief Executive Officer & Director,12867,7.8,1117.7,9.5,5309
220,L Brands,59100,Retailing,Specialty Retailers: Apparel,Columbus,Leslie H. Wexner,Chairman & Chief Executive Officer,12574,3.5,1158.1,-7.6,8170
221,J.C. Penney,106000,Retailing,General Merchandisers,Plano,Marvin R. Ellison,Chairman & Chief Executive Officer,12547,-0.6,1,-7.6,9314
222,Farmers Insurance Exchange,13309,Financials,Insurance: Property and Casualty (Mutual),Woodland Hills,Jeffrey J. Dailey,Chief Executive Officer & Director,12513,-0.9,-147.9,-7.6,16057
223,Reynolds American,5525,"Food, Beverages & Tobacco",Tobacco,Winston-Salem,Debra A. Crew,"President, Chief Executive Officer & Director",12503,17.1,6073,86.7,51095
224,Viacom,9650,Media,Entertainment,New York,Robert Bakish,"President, Chief Executive Officer & Director",12488,-5.9,1438,-25.2,22508
225,Becton Dickinson,50928,Health Care,Medical Products and Equipment,Franklin Lakes,Vincent A. Forlenza,Chairman & Chief Executive Officer,12483,21.4,976,40.4,25586
226,Micron Technology,31400,Technology,Semiconductors and Other Electronic Components,Boise,Sanjay Mehrotra,"President, Chief Executive Officer & Director",12399,-23.4,-276,-109.5,27540
227,Principal Financial,14854,Financials,"Insurance: Life, Health (Stock)",Des Moines,Daniel J. Houston,"Chairman, President & Chief Executive Officer",12394,3.6,1316.5,6.7,228014
228,Arconic,41500,Aerospace & Defense,Aerospace and Defense,New York,David P. Hess,Interim Chief Executive Officer & Director,12394,-45,-941,6.7,20038
229,NRG Energy,8763,Energy,Energy,Princeton,Mauricio Gutierrez,"President, Chief Executive Officer & Director",12351,-15.8,-774,6.7,30355
230,VF,69000,Apparel,Apparel,Greensboro,Steven E. Rendle,"President, Chief Executive Officer & Director",12207,-1.4,1074.1,-12.8,9739
231,Devon Energy,3545,Energy,"Mining, Crude-Oil Production",Oklahoma City,David A. Hager,"President, Chief Executive Officer & Director",12197,-7.2,-3302,-12.8,25913
232,D.R. Horton,6976,Engineering & Construction,Homebuilders,Fort Worth,David V. Auld,"President, Chief Executive Officer & Director",12157,12.3,886.3,18.1,11559
233,Bed Bath & Beyond,62000,Retailing,Specialty Retailers: Other,Union,Steven H. Temares,Chief Executive Officer & Director,12104,1.9,841.5,-12.1,6499
234,Consolidated Edison,14960,Energy,Utilities: Gas and Electric,New York,John McAvoy,Chairman & Chief Executive Officer,12075,-3.8,1245,4.4,48255
235,Edison International,12390,Energy,Utilities: Gas and Electric,Rosemead,Pedro J. Pizarro,"President, Chief Executive Officer & Director",11869,3,1311,28.5,51319
236,Sherwin-Williams,42550,Chemicals,Chemicals,Cleveland,John G. Morikis,"Chairman, President & Chief Executive Officer",11856,4.6,1132.7,7.5,6753
237,NGL Energy Partners,3200,Energy,Energy,Tulsa,H. Michael Krimbill,Chief Executive Officer & Director,11742,-30.1,-198.9,-633.2,5560
238,Dominion Energy,16200,Energy,Utilities: Gas and Electric,Richmond,Thomas F. Farrell II,"Chairman, President & Chief Executive Officer",11737,0.5,2123,11.8,71610
239,Ameriprise Financial,13195,Financials,Diversified Financials,Minneapolis,James M. Cracchiolo,Chairman & Chief Executive Officer,11735,-3.8,1314,-15.9,139821
240,ADP,57000,Business Services,Diversified Outsourcing Services,Roseland,Carlos A. Rodriguez,"President, Chief Executive Officer & Director",11668,1.7,1492.5,2.8,43670
241,Hilton Worldwide Holdings,169000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",McLean,Christopher J. Nassetta,"President, Chief Executive Officer & Director",11663,3.5,348,-75.2,26211
242,First Data,24000,Business Services,Financial Data Services,Atlanta,Frank J. Bisignano,Chairman & Chief Executive Officer,11584,1.2,420,-75.2,40292
243,Henry Schein,21000,Wholesalers,Wholesalers: Health Care,Melville,Stanley M. Bergman,Chairman & Chief Executive Officer,11572,8.9,506.8,5.8,6730
244,Toys “R” Us,64000,Retailing,Specialty Retailers: Other,Wayne,David A. Brandon,Chairman & Chief Executive Officer,11540,-2.2,-36,5.8,6908
245,BB&T Corp.,37500,Financials,Commercial Banks,Winston-Salem,Kelly S. King,Chairman & Chief Executive Officer,11538,11.5,2426,16.4,219276
246,Reinsurance Group of America,2371,Financials,"Insurance: Life, Health (Stock)",Chesterfield,Anna Manning,"President, Chief Executive Officer & Director",11522,10.6,701.4,39.7,53098
247,Core-Mark Holding,7688,Wholesalers,Wholesalers: Food and Grocery,South San Francisco,Thomas B. Perkins,"President, Chief Executive Officer & Director",11507,29.9,54.2,5.2,1497
248,Biogen,7400,Health Care,Pharmaceuticals,Cambridge,Michel Vounatsos,Chief Executive Officer & Director,11449,6.4,3702.8,4.4,22877
249,Las Vegas Sands,49000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,Sheldon G. Adelson,Chairman & Chief Executive Officer,11410,-2.4,1670,-15.1,20469
250,Stanley Black & Decker,54023,Household Products,"Home Equipment, Furnishings",New Britain,James M. Loree,"President, Chief Executive Officer & Director",11407,1.7,965.3,9.2,15635
251,Parker-Hannifin,48950,Industrials,Industrial Machinery,Cleveland,Thomas L. Williams,Chairman & Chief Executive Officer,11361,-10.6,806.8,-20.3,12057
252,Stryker,33000,Health Care,Medical Products and Equipment,Kalamazoo,Kevin A. Lobo,Chairman & Chief Executive Officer,11325,13.9,1647,14.5,20435
253,Estee Lauder,46000,Household Products,Household and Personal Products,New York,Fabrizio Freda,"President, Chief Executive Officer & Director",11262,4.5,1114.6,2.4,9223
254,Celgene,7132,Health Care,Pharmaceuticals,Summit,Mark J. Alles,Chief Executive Officer & Director,11229,21.3,1999.2,24.8,28086
255,BlackRock,13000,Financials,Securities,New York,Laurence D. Fink,Chairman & Chief Executive Officer,11155,-2.2,3172,-5.2,220177
256,Xcel Energy,11476,Energy,Utilities: Gas and Electric,Minneapolis,Benjamin G.S. Fowke III,"Chairman, President & Chief Executive Officer",11107,0.7,1123.4,14.1,41155
257,CSX,26628,Transportation,Railroads,Jacksonville,E. Hunter Harrison,"President, Chief Executive Officer & Director",11069,-6.3,1714,-12.9,35414
258,Unum Group,9400,Financials,"Insurance: Life, Health (Stock)",Chattanooga,Richard P. McKenney,"President, Chief Executive Officer & Director",11047,2.9,931.4,7.4,61942
259,Jacobs Engineering Group,49350,Engineering & Construction,"Engineering, Construction",Dallas,Steven J. Demetriou,"Chairman, President & Chief Executive Officer",10964,-9.5,210.5,-30.5,7360
260,Lennar,8335,Engineering & Construction,Homebuilders,Miami,Stuart A. Miller,Chief Executive Officer & Director,10950,15.6,911.8,13.6,15362
261,Group 1 Automotive,13500,Retailing,"Automotive Retailing, Services",Houston,Earl J. Hesterberg,"President, Chief Executive Officer & Director",10888,2.4,147.1,56.5,4462
262,Leucadia National,13000,Financials,Diversified Financials,New York,Richard B. Handler,Chief Executive Officer & Director,10875,-6.9,130,-54.2,45071
263,Entergy,13513,Energy,Utilities: Gas and Electric,New Orleans,Leo P. Denault,Chairman & Chief Executive Officer,10846,-5.8,-583.6,-54.2,45904
264,PayPal Holdings,18100,Business Services,Financial Data Services,San Jose,Daniel H. Schulman,"President, Chief Executive Officer & Director",10842,17.2,1401,14.1,33103
265,Applied Materials,16150,Technology,Semiconductors and Other Electronic Components,Santa Clara,Gary E. Dickerson,"President, Chief Executive Officer & Director",10825,12.1,1721,25,14588
266,Voya Financial,6700,Financials,Diversified Financials,New York,Rodney O. Martin Jr.,Chairman & Chief Executive Officer,10782,-4.9,-428,-204.8,214235
267,Mastercard,11900,Business Services,Financial Data Services,Purchase,Ajay Banga,"President, Chief Executive Officer & Director",10776,11.5,4059,6.6,18675
268,Priceline Group,18500,Technology,Internet Services and Retailing,Norwalk,Glenn D. Fogel,"President, Chief Executive Officer & Director",10743,16.5,2135,-16.3,19839
269,Liberty Interactive,21080,Retailing,Internet Services and Retailing,Englewood,Gregory B. Maffei,"President, Chief Executive Officer & Director",10647,6.6,1235,42.1,20355
270,AutoZone,66780,Retailing,Specialty Retailers: Other,Memphis,William C. Rhodes III,"Chairman, President & Chief Executive Officer",10636,4.4,1241,7,8600
271,State Street Corp.,33783,Financials,Commercial Banks,Boston,Joseph L. Hooley,Chairman & Chief Executive Officer,10635,-1.2,2143,8.2,242698
272,DTE Energy,10000,Energy,Utilities: Gas and Electric,Detroit,Gerard M. Anderson,Chairman & Chief Executive Officer,10630,2.8,868,19.4,32041
273,L3 Technologies,38000,Aerospace & Defense,Aerospace and Defense,New York,Michael T. Strianese,Chairman & Chief Executive Officer,10597,-8.3,710,19.4,11865
274,HollyFrontier,2676,Energy,Petroleum Refining,Dallas,George J. Damiris,"President, Chief Executive Officer & Director",10536,-20.4,-260.5,-135.2,9436
275,Praxair,26498,Chemicals,Chemicals,Danbury,Stephen F. Angel,Chairman & Chief Executive Officer,10534,-2.2,1500,-3,19332
276,Universal Health Services,70863,Health Care,Health Care: Medical Facilities,King of Prussia,Alan B. Miller,Chairman & Chief Executive Officer,10508,7.4,702.4,3.2,10318
277,Discover Financial Services,15549,Financials,Commercial Banks,Riverwoods,David W. Nelms,Chairman & Chief Executive Officer,10497,4.9,2393,4.2,92308
278,Occidental Petroleum,11000,Energy,"Mining, Crude-Oil Production",Houston,Vicki A. Hollub,"President, Chief Executive Officer & Director",10398,-18.1,-574,4.2,43109
279,United States Steel,29800,Materials,Metals,Pittsburgh,David B. Burritt,"President, Chief Executive Officer & Director",10261,-11.3,-440,4.2,9160
280,Sempra Energy,16575,Energy,Utilities: Gas and Electric,San Diego,Debra L. Reed,Chairman & Chief Executive Officer,10183,-0.5,1370,1.6,47786
281,Baxter International,48000,Health Care,Medical Products and Equipment,Deerfield,Jose E. Almeida,"Chairman, President & Chief Executive Officer",10163,2,4965,412.9,15546
282,W.W. Grainger,25000,Wholesalers,Wholesalers: Diversified,Lake Forest,D.G. Macpherson,Chief Executive Officer & Director,10137,1.6,605.9,-21.2,5694
283,Autoliv,65900,Motor Vehicles & Parts,Motor Vehicles and Parts,Auburn Hills,Jan Carlson,"Chairman, President & Chief Executive Officer",10074,9.9,567.1,24.1,8234
284,Norfolk Southern,27856,Transportation,Railroads,Norfolk,James A. Squires,"Chairman, President & Chief Executive Officer",9888,-5.9,1668,7.2,34892
285,Baker Hughes,33000,Energy,"Oil and Gas Equipment, Services",Houston,Martin S. Craighead,"Chairman, President & Chief Executive Officer",9841,-37.5,-2738,7.2,19034
286,Ally Financial,7600,Financials,Diversified Financials,Detroit,Jeffrey J. Brown,Chief Executive Officer & Director,9835,3.1,1067,-17.2,163728
287,Sonic Automotive,9800,Retailing,"Automotive Retailing, Services",Charlotte,B. Scott Smith,"President, Chief Executive Officer & Director",9732,1.1,93.2,8,3639
288,Owens & Minor,7900,Wholesalers,Wholesalers: Health Care,Mechanicsville,P. Cody Phipps,"President, Chief Executive Officer & Director",9723,-0.5,108.8,5.2,2718
289,Huntsman,15000,Chemicals,Chemicals,The Woodlands,Peter R. Huntsman,"President, Chief Executive Officer & Director",9657,-6.2,326,250.5,9189
290,Laboratory Corp. of America,52000,Health Care,Health Care: Pharmacy and Other Services,Burlington,David P. King,"Chairman, President & Chief Executive Officer",9642,11.1,732.1,67.6,14247
291,Murphy USA,6600,Retailing,Specialty Retailers: Other,El Dorado,R. Andrew Clyde,"President, Chief Executive Officer & Director",9633,-11.5,221.5,25.6,2089
292,Advance Auto Parts,57500,Retailing,Specialty Retailers: Other,Roanoke,Thomas R. Greco,"President, Chief Executive Officer & Director",9568,-1.7,459.6,-2.9,8315
293,Fidelity National Financial,55219,Financials,Insurance: Property and Casualty (Stock),Jacksonville,Raymond R. Quirk,Chief Executive Officer & Director,9554,4.6,650,23.3,14463
294,Air Products & Chemicals,18450,Chemicals,Chemicals,Allentown,Seifi Ghasemi,"Chairman, President & Chief Executive Officer",9524,-3.7,631.1,-50.6,18055
295,Hormel Foods,21100,"Food, Beverages & Tobacco",Food Consumer Products,Austin,James P. Snee,Chief Executive Officer & Director,9523,2.8,890.1,29.7,6370
296,Hertz Global Holdings,36000,Retailing,"Automotive Retailing, Services",Estero,Kathryn V. Marinello,"President, Chief Executive Officer & Director",9480,-10,-491,-279.9,19155
297,MGM Resorts International,66500,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,James J. Murren,Chairman & Chief Executive Officer,9455,2.9,1101.4,-279.9,28173
298,Corning,40700,Industrials,"Electronics, Electrical Equipment",Corning,Wendell P. Weeks,"Chairman, President & Chief Executive Officer",9390,3.1,3695,176,27899
299,Republic Services,33000,Business Services,Waste Management,Phoenix,Donald W. Slager,"President, Chief Executive Officer & Director",9388,3,612.6,-18.3,20630
300,Alcoa,14000,Materials,Metals,New York,Roy C. Harvey,Chief Executive Officer & Director,9318,3,-400,-18.3,16741
301,Fidelity National Information Services,55000,Business Services,Financial Data Services,Jacksonville,Gary A. Norcross,"President, Chief Executive Officer & Director",9241,40.1,568,-10.1,26031
302,Pacific Life,3628,Financials,"Insurance: Life, Health (Stock)",Newport Beach,James T. Morris,"Chairman, President & Chief Executive Officer",9169,6.1,824,24.7,143298
303,SunTrust Banks,24375,Financials,Commercial Banks,Atlanta,William H. Rogers Jr.,Chairman & Chief Executive Officer,9161,7.4,1878,-2.8,204875
304,LKQ,42500,Wholesalers,Wholesalers: Diversified,Chicago,Dominick P. Zarcone,"President, Chief Executive Officer & Director",9082,26.3,464,9.6,8303
305,BorgWarner,27000,Motor Vehicles & Parts,Motor Vehicles and Parts,Auburn Hills,James R. Verrier,"President, Chief Executive Officer & Director",9071,13.1,118.5,-80.6,8835
306,Ball,18450,Materials,"Packaging, Containers",Broomfield,John A. Hayes,"Chairman, President & Chief Executive Officer",9061,13.3,263,-6.4,16173
306,CST Brands,12380,Retailing,Specialty Retailers: Other,San Antonio,Kimberly S. Lubel,"Chairman, President & Chief Executive Officer",9061,-4.6,324,117.4,4360
306,Public Service Enterprise Group,13065,Energy,Utilities: Gas and Electric,Newark,Ralph Izzo,"Chairman, President & Chief Executive Officer",9061,-13,887,-47.2,40070
309,Eastman Chemical,14000,Chemicals,Chemicals,Kingsport,Mark J. Costa,Chairman & Chief Executive Officer,9008,-6.6,854,0.7,15457
310,eBay,12600,Technology,Internet Services and Retailing,San Jose,Devin N. Wenig,"President, Chief Executive Officer & Director",8979,-5.4,7266,321.2,23847
311,Mohawk Industries,37800,Household Products,"Home Equipment, Furnishings",Calhoun,Jeffrey S. Lorberbaum,Chairman & Chief Executive Officer,8959,11,930.4,51.2,10231
312,Oneok,2384,Energy,Pipelines,Tulsa,Terry K. Spencer,"President, Chief Executive Officer & Director",8921,14.9,352,43.7,16139
313,Frontier Communications,28332,Telecommunications,Telecommunications,Norwalk,Daniel J. McCarthy,"President, Chief Executive Officer & Director",8896,59.5,-373,43.7,29013
314,Netflix,3850,Technology,Internet Services and Retailing,Los Gatos,Reed Hastings,"Chairman, President & Chief Executive Officer",8831,30.3,186.7,52.2,13587
315,American Family Insurance Group,10471,Financials,Insurance: Property and Casualty (Stock),Madison,Jack C. Salzwedel,Chairman & Chief Executive Officer,8829,6.6,325.6,-53.1,22662
316,Thrivent Financial for Lutherans,3282,Financials,"Insurance: Life, Health (Mutual)",Minneapolis,Bradford L. Hewitt,Chief Executive Officer & Director,8777,-0.1,587.8,-23.6,88561
317,Expedia,20075,Technology,Internet Services and Retailing,Bellevue,Dara Khosrowshahi,"President, Chief Executive Officer & Director",8774,31.5,281.8,-63.1,15778
318,Lithia Motors,11170,Retailing,"Automotive Retailing, Services",Medford,Bryan B. DeBoer,"President, Chief Executive Officer & Director",8678,10.3,197.1,7.7,3844
319,Avis Budget Group,25600,Retailing,"Automotive Retailing, Services",Parsippany,Larry D. De Shon,Chief Executive Officer & Director,8659,1.8,163,-47.9,17643
320,Reliance Steel & Aluminum,14500,Materials,Metals,Los Angeles,Gregg J. Mollins,"President, Chief Executive Officer & Director",8613,-7.9,304.3,-2.3,7411
321,GameStop,41750,Retailing,Specialty Retailers: Other,Grapevine,J. Paul Raines,Chief Executive Officer & Director,8608,-8.1,353.2,-12.3,4976
322,Tenneco,31000,Motor Vehicles & Parts,Motor Vehicles and Parts,Lake Forest,Brian J. Kesseler,Chairman & Chief Executive Officer,8599,4.8,363,47,4342
323,O’Reilly Automotive,58397,Retailing,Specialty Retailers: Other,Springfield,Gregory L. Henslee,Chief Executive Officer & Director,8593,7.9,1037.7,11.4,7204
324,Peter Kiewit Sons’,20000,Engineering & Construction,"Engineering, Construction",Omaha,Bruce E. Grewcock,"President, Chief Executive Officer & Director",8573,-4.7,396,57.8,6179
325,United Natural Foods,9554,Wholesalers,Wholesalers: Food and Grocery,Providence,Steven L. Spinner,"Chairman, President & Chief Executive Officer",8470,3.5,125.8,-9.3,2852
326,salesforce.com,25000,Technology,Computer Software,San Francisco,Marc R. Benioff,Chairman & Chief Executive Officer,8392,25.9,179.6,-9.3,17585
327,Boston Scientific,27000,Health Care,Medical Products and Equipment,Marlborough,Michael F. Mahoney,"Chairman, President & Chief Executive Officer",8386,12.2,347,-9.3,18096
328,Newmont Mining,12438,Energy,"Mining, Crude-Oil Production",Greenwood Village,Gary J. Goldberg,"President, Chief Executive Officer & Director",8379,8.4,-627,-385,21031
329,Genworth Financial,3400,Financials,"Insurance: Life, Health (Stock)",Richmond,Thomas J. McInerney,"President, Chief Executive Officer & Director",8369,-9.5,-277,-385,104658
330,Live Nation Entertainment,11500,Media,Entertainment,Beverly Hills,Michael Rapino,"President, Chief Executive Officer & Director",8355,15.3,2.9,-385,6764
331,Veritiv,8700,Wholesalers,Wholesalers: Diversified,Atlanta,Mary A. Laschinger,Chairman & Chief Executive Officer,8327,-4.5,21,-21.3,2484
332,News Corp.,24000,Media,"Publishing, Printing",New York,Robert J. Thomson,Chief Executive Officer & Director,8319,-3.6,179,-21.3,15483
333,Crown Holdings,23992,Materials,"Packaging, Containers",Philadelphia,Timothy J. Donahue,"President, Chief Executive Officer & Director",8284,-5.5,496,26.2,9599
